pitcher_id,name,pitches,pa,k_percent,bb_percent,woba,xwoba,gap,hard_hit_percent,window_days
650960,"Duarte, Daniel",52,15,26.7,6.7,0.3,0.347,-0.047,40.0,21
677020,"Walker, Josh",173,40,20.0,12.5,0.2,0.226,-0.026,29.6,21
670329,"Garcia, Rico",146,38,21.1,5.3,0.261,0.218,0.043,29.6,21
681911,"Vesia, Alex",126,29,41.4,3.4,0.134,0.09,0.044,13.3,21
666277,"Soriano, George",196,42,21.4,26.2,0.359,0.336,0.023,27.3,21
689254,"Fluharty, Mason",132,31,25.8,12.9,0.276,0.244,0.032,36.8,21
693433,"Woo, Bryan",354,105,21.0,5.7,0.274,0.288,-0.014,42.9,21
668909,"Williams, Gavin",301,72,36.1,12.5,0.238,0.268,-0.03,37.1,21
663567,"Lambert, Peter",357,99,22.2,4.0,0.328,0.301,0.027,37.0,21
663903,"Singer, Brady",288,74,10.8,23.0,0.533,0.519,0.014,46.9,21
593958,"Rodriguez, Eduardo",500,126,23.8,10.3,0.36,0.27,0.09,28.9,21
650633,"King, Michael",377,95,18.9,8.4,0.299,0.325,-0.026,34.8,21
641816,"Mahle, Tyler",387,93,19.4,3.2,0.214,0.203,0.011,29.2,21
605400,"Nola, Aaron",451,122,23.0,8.2,0.281,0.31,-0.029,33.3,21
695549,"Jobe, Jackson",363,93,34.4,7.5,0.266,0.235,0.031,25.0,21
690986,"Harrison, Kyle",194,51,13.7,17.6,0.588,0.475,0.113,52.9,21
681293,"Arrighetti, Spencer",237,57,15.8,17.5,0.408,0.38,0.028,35.1,21
801139,"Tolle, Payton",374,97,32.0,7.2,0.263,0.232,0.031,37.3,21
700712,"Ureña, Walbert",446,120,20.0,5.0,0.313,0.259,0.054,33.7,21
694973,"Skenes, Paul",347,94,21.3,6.4,0.318,0.29,0.028,30.9,21
680694,"Bradish, Kyle",141,36,13.9,16.7,0.503,0.415,0.088,48.0,21
543037,"Cole, Gerrit",551,139,25.2,4.3,0.317,0.332,-0.015,42.7,21
641927,"Ober, Bailey",216,58,20.7,8.6,0.321,0.291,0.03,46.3,21
677976,"Dobnak, Randy",312,81,11.1,9.9,0.385,0.329,0.056,36.5,21
702885,"Perdomo, Cesar",477,133,9.8,6.8,0.341,0.325,0.016,40.0,21
695611,"Jump, Gage",126,30,30.0,6.7,0.45,0.347,0.103,42.1,21
685299,"Gordon, Tanner",253,65,18.5,6.2,0.518,0.402,0.116,42.9,21
605280,"Holmes, Clay",376,96,16.7,18.8,0.341,0.293,0.048,35.5,21
681035,"Scott, Christian",323,84,33.3,6.0,0.285,0.201,0.084,35.3,21
674841,"Alvarez, Andrew",267,68,30.9,10.3,0.238,0.25,-0.012,32.5,21
663969,"Phillips, Tyler",244,62,19.4,9.7,0.292,0.311,-0.019,38.6,21
693855,"Seymour, Ian",328,89,24.7,9.0,0.405,0.362,0.043,45.8,21
