"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Burns, Chase","695505","197","19.1",30.5,"113.1","89.1","78.5","94","86","417","173","385","75",38.1,"17",8.6,5.3
"Young, Brandon","687064","196","14",35.2,"110.8","89.1","77.8","93.2","85.4","424","171","404","81",41.3,"14",7.1,5.3
"Woods Richardson, Simeon","680573","194","17.9",31.4,"112.6","90.2","79.4","93","89.1","414","172","392","85",43.8,"16",8.2,6.3
"Bassitt, Chris","605135","194","9.8",29.9,"114","87.4","75.9","91.8","85.7","422","146","404","67",34.5,"8",4.1,3.1
"Sasaki, Roki","808963","192","12.5",33.3,"112.8","90.1","79.6","93.3","89.2","448","163","395","86",44.8,"20",10.4,6.9
"Pérez, Martín","527048","189","7.8",35.4,"116.9","88.2","76.7","93.8","83.6","436","148","399","71",37.6,"12",6.3,4.4
"Flaherty, Jack","656427","189","21.7",40.2,"113.5","91.4","81.4","94.5","90.6","415","187","376","92",48.7,"16",8.5,5.2
"McClanahan, Shane","663556","188","9.1",31.9,"112.2","90","79.8","93.2","87.6","416","157","380","79",42,"16",8.5,5.6
"Paddack, Chris","663978","188","14.9",35.1,"116.3","89","78.1","91.7","86.1","429","171","382","71",37.8,"15",8,6
"Lauer, Eric","641778","187","20.4",37.4,"114.5","89.1","78.2","92","84.6","449","195","393","73",39,"21",11.2,8.4
"Misiorowski, Jacob","694819","185","11.2",36.8,"111.7","87.1","76.8","90.7","85.5","417","153","388","59",31.9,"4",2.2,1.1
"Ohtani, Shohei","660271","183","12.1",26.2,"111.2","87.4","76.3","91.4","86.7","427","140","386","66",36.1,"7",3.8,2.4
"Brown, Ben","676962","179","10.1",31.3,"113.1","90.3","80.4","92.8","88.5","402","155","377","77",43,"13",7.3,4.9
"Sheehan, Emmet","686218","176","19.3",36.9,"111","88.9","78.1","92.9","85.2","415","180","395","68",38.6,"18",10.2,6.7
"Sproat, Brandon","687075","176","14.6",34.1,"112.1","90.1","80","92.6","89.6","430","174","399","74",43,"16",9.1,5.8
"Ureña, Walbert","700712","175","8.1",25.1,"114.6","87.2","75.6","91","85.6","392","131","372","58",33.1,"10",5.7,3.7
"Lambert, Peter","663567","174","17",27.6,"114.7","88.6","77.7","92.8","84.9","423","170","387","68",39.1,"11",6.3,4.2
"Severino, Luis","622663","173","11.6",34.1,"113.6","88.8","78.4","91.7","85.8","417","160","384","67",38.7,"15",8.7,5.5
"Lopez, Jacob","682052","172","21",32,"110.8","85.1","72.5","90.1","80.9","413","174","385","54",31.4,"8",4.7,3.3
"Fried, Max","608331","169","8.7",26,"111.6","86.1","74.4","90.5","85.4","378","141","375","52",30.8,"3",1.8,1.3
"Mahle, Tyler","641816","168","12.6",31.5,"110.5","89.1","78.9","92.2","86.7","442","166","397","60",35.7,"14",8.3,5.6
"Arrighetti, Spencer","681293","167","16.5",35.3,"109.3","86.9","76.7","89.7","85","424","164","407","49",29.3,"9",5.4,3.3
"Prielipp, Connor","687570","165","12.8",36.4,"110.5","90.4","80.8","93.8","88.2","427","169","404","66",40,"16",9.7,6.5
"Harrison, Kyle","690986","165","14.8",36.4,"111.5","88.9","78.8","91.7","86.6","434","172","398","52",31.5,"11",6.7,4.1
"Patrick, Chad","694477","162","18",37,"116.1","89.6","78.8","92","88.6","463","175","430","66",40.7,"12",7.4,5.2
"Pérez, Eury","691587","160","21.5",37.5,"113.4","89.1","77.3","95.5","83.2","449","188","402","68",42.5,"24",15,9.1
"Lowder, Rhett","695076","160","15",35.6,"112.8","90.5","80.6","93.8","89.3","433","173","410","63",39.4,"14",8.8,6
