Season,﻿"last_name, first_name","player_id","year","pa","ab","hit","double","triple","home_run","walk","strikeout","batting_avg","on_base_percent","slg_percent","woba","woba_contact","xba","xslg","xwoba","xwoba_contact","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","pitches","batted_ball_events"
2026,"Rodríguez, Julio",677594,2026,272,251,65,13,0,13,18,57,".259",".313",".466",".339",,".262",".471",".339",,"90","12.9",31.3,9.7,42.6,,
2026,"Crawford, J.P.",641487,2026,227,188,40,4,0,9,34,43,".213",".344",".378",".330",,".247",".408",".350",,"88.4","12.7",38.4,9,36.3,,
2026,"Contreras, Willson",575929,2026,236,199,56,6,2,11,24,60,".281",".381",".497",".385",,".276",".523",".396",,"90.3","15.8",34.5,14.3,43.7,,
2026,"Herrera, Iván",671056,2026,267,219,57,12,1,7,34,45,".260",".386",".420",".359",,".272",".428",".366",,"89.7","6",30.7,7.5,42.6,,
2026,"McNeil, Jeff",643446,2026,206,183,46,9,0,2,17,28,".251",".322",".333",".296",,".270",".349",".308",,"86.5","11.7",38.6,1.3,31.6,,
2026,"Walker, Christian",572233,2026,252,226,56,10,0,16,21,51,".248",".321",".504",".357",,".246",".450",".332",,"90.8","14.8",30.7,13.1,46.6,,
2026,"Paredes, Isaac",670623,2026,230,202,47,10,0,6,21,37,".233",".326",".371",".317",,".237",".356",".309",,"86.6","24.6",34.5,5.5,27.3,,
2026,"Schanuel, Nolan",694384,2026,208,191,50,12,0,4,13,33,".262",".313",".387",".311",,".271",".381",".311",,"87","10.8",36.3,3.1,31.9,,
2026,"Perez, Salvador",521692,2026,242,222,46,6,0,9,12,47,".207",".260",".356",".272",,".224",".394",".293",,"88.7","16.9",32.6,8.4,39.9,,
2026,"Garcia, Maikel",672580,2026,246,224,60,15,1,3,20,35,".268",".325",".384",".316",,".281",".376",".322",,"90.2","8.6",33.5,4.2,40.8,,
2026,"Clemens, Kody",665019,2026,191,170,39,11,2,6,14,45,".229",".307",".424",".324",,".234",".422",".322",,"92.3","16.4",34.6,13.5,43.3,,
2026,"Henderson, Gunnar",683002,2026,275,255,56,12,1,13,17,72,".220",".273",".427",".306",,".237",".406",".304",,"89.3","12.1",31,9.8,44,,
2026,"Baldwin, Drake",686948,2026,216,188,57,6,0,13,24,44,".303",".389",".543",".405",,".305",".587",".418",,"92.8","12.1",42.1,18.6,53.8,,
2026,"Vargas, Ildemaro",545121,2026,219,207,60,9,2,7,8,21,".290",".318",".454",".336",,".294",".413",".320",,"86.7","11.4",31.9,4.3,31.9,,
2026,"Aranda, Jonathan",666018,2026,253,209,58,9,0,11,35,62,".278",".379",".478",".372",,".272",".503",".385",,"91.1","15.4",39.9,13.1,48.4,,
2026,"Goodman, Hunter",696100,2026,235,214,52,10,0,15,17,80,".243",".311",".500",".352",,".223",".439",".316",,"91.1","17.6",34.3,15,47,,
2026,"Albies, Ozzie",645277,2026,263,236,66,10,0,9,19,31,".280",".335",".436",".339",,".250",".375",".300",,"86.5","17.2",32.9,3.9,26.2,,
2026,"Rumfield, TJ",681198,2026,233,206,59,9,1,8,21,35,".286",".361",".456",".361",,".266",".428",".339",,"85.2","13.2",40.5,7.6,35.3,,
2026,"Benge, Carson",701807,2026,225,205,52,9,0,6,17,48,".254",".320",".385",".317",,".276",".459",".348",,"90.5","10.7",42,10.2,45.9,,
2026,"Hicks, Liam",689414,2026,227,197,53,5,0,12,22,21,".269",".348",".477",".360",,".256",".385",".325",,"86.4","14.2",26.7,5,33.3,,
2026,"Marsee, Jakob",805300,2026,256,215,42,7,3,3,32,59,".195",".318",".298",".289",,".213",".306",".297",,"86.6","19.5",29.7,3.8,35.4,,
2026,"Trout, Mike",545361,2026,275,214,52,10,0,14,58,65,".243",".411",".486",".393",,".258",".571",".420",,"91.3","20.6",35.6,20.9,49.7,,
2026,"Harris II, Michael",671739,2026,221,209,64,7,0,13,10,41,".306",".339",".526",".376",,".308",".568",".391",,"93.2","11.9",29,15.5,53.8,,
2026,"Caglianone, Jac",695506,2026,205,185,44,9,1,6,17,62,".238",".312",".395",".316",,".257",".453",".341",,"93.4","7.7",35.8,15.4,57.7,,
2026,"Olson, Matt",621566,2026,269,238,63,19,0,17,28,61,".265",".342",".559",".385",,".264",".549",".379",,"93.5","18.2",33,15.2,51.4,,
2026,"Neto, Zach",687263,2026,274,234,54,14,1,10,34,82,".231",".339",".427",".341",,".212",".404",".323",,"89.6","22.6",37.3,11.1,37.3,,
2026,"Ohtani, Shohei",660271,2026,264,215,63,14,2,10,40,59,".293",".411",".516",".398",,".294",".537",".408",,"93.4","12.4",41.5,15.8,52.2,,
2026,"Frelick, Sal",686217,2026,208,182,41,7,0,3,17,22,".225",".291",".313",".272",,".239",".320",".278",,"85.8","8.6",27.6,2.5,26.4,,
2026,"De La Cruz, Elly",682829,2026,257,232,65,13,2,12,22,76,".280",".346",".509",".373",,".269",".493",".362",,"94.2","12.1",36.9,15,52.9,,
2026,"Perdomo, Geraldo",672695,2026,239,196,44,9,3,3,33,30,".224",".332",".347",".308",,".248",".330",".321",,"87","12.4",34.3,3.4,30.3,,
2026,"Jensen, Carter",695600,2026,201,176,39,8,0,7,21,58,".222",".303",".386",".305",,".192",".332",".275",,"89.6","22.2",28.1,8.3,40.5,,
2026,"Ozuna, Marcell",542303,2026,192,172,32,5,0,5,18,56,".186",".271",".302",".261",,".222",".400",".308",,"89.8","23.3",38.8,8.8,40.5,,
2026,"Arenado, Nolan",571448,2026,208,182,49,12,0,8,19,39,".269",".351",".467",".359",,".267",".415",".336",,"85.5","19",39.3,7.6,31.7,,
2026,"Caminero, Junior",691406,2026,256,219,61,8,0,14,36,38,".279",".379",".507",".386",,".279",".495",".378",,"92.7","9.1",24.2,12.2,48.6,,
2026,"Greene, Riley",682985,2026,258,224,69,16,0,6,32,73,".308",".399",".460",".384",,".262",".462",".360",,"90.9","16.4",39.1,11.9,51,,
2026,"Lopez, Otto",672640,2026,257,239,80,15,2,5,10,40,".335",".366",".477",".369",,".294",".459",".340",,"90.4","6.9",30,7.9,43.8,,
2026,"Lile, Daylen",695734,2026,269,244,62,15,1,7,20,48,".254",".309",".410",".315",,".259",".423",".323",,"87.6","17.2",34.5,7.5,35.7,,
2026,"Suzuki, Seiya",673548,2026,200,176,42,5,0,7,20,53,".239",".325",".386",".315",,".236",".395",".311",,"88.8","18",36.3,8.1,41.1,,
2026,"Bohm, Alec",664761,2026,225,204,42,7,0,6,16,30,".206",".267",".328",".267",,".238",".347",".292",,"90.3","11.5",33.9,3.4,42.9,,
2026,"Harper, Bryce",547180,2026,248,210,55,10,1,14,35,46,".262",".363",".519",".380",,".291",".575",".414",,"89.7","12.4",37.1,14.4,43.1,,
2026,"Stott, Bryson",681082,2026,203,187,40,8,2,6,12,35,".214",".264",".374",".281",,".247",".392",".301",,"89.9","16.5",32.3,7.1,40.6,,
2026,"Judge, Aaron",592450,2026,261,214,53,10,0,17,42,72,".248",".375",".533",".389",,".270",".600",".415",,"94.1","14.6",33.6,21.7,57.3,,
2026,"Giménez, Andrés",665926,2026,209,194,41,7,1,6,8,37,".211",".255",".351",".268",,".211",".302",".253",,"85.5","10.5",26.3,3.8,23.1,,
2026,"Arraez, Luis",650333,2026,253,226,73,11,4,2,15,10,".323",".365",".434",".348",,".294",".371",".310",,"87.5","14.9",41.3,0,21.3,,
2026,"Freeman, Freddie",518692,2026,253,219,60,15,1,9,30,43,".274",".360",".475",".365",,".278",".500",".376",,"91.4","11.6",36.3,11.7,46.4,,
2026,"Lee, Jung Hoo",808982,2026,213,199,61,12,2,3,10,22,".307",".343",".432",".341",,".305",".398",".328",,"87.7","11",38,2.8,29.6,,
2026,"Soler, Jorge",624585,2026,240,212,47,10,1,9,21,74,".222",".300",".406",".312",,".223",".393",".307",,"87.9","14",36.2,11.3,41.1,,
2026,"García, Adolis",666969,2026,229,202,39,7,1,4,20,71,".193",".275",".297",".262",,".217",".338",".288",,"92.3","13.7",37.3,7.5,47.8,,
2026,"Wetherholt, JJ",802139,2026,266,225,56,7,0,9,29,45,".249",".357",".400",".340",,".254",".449",".359",,"90.8","16.1",36.3,7.8,48.4,,
2026,"Crow-Armstrong, Pete",691718,2026,254,223,54,8,2,7,22,64,".242",".328",".390",".322",,".251",".456",".346",,"91.8","19.4",31.1,10.6,50.3,,
