"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"McNeil, Jeff","643446","379","14.6",38,"108.4","86.6","96.3","89.8","85.3","400","162","380","115",30.3,"7",1.8,1.5
"Turang, Brice","668930","379","9.1",38.3,"109.8","90.2","100.2","94.8","85.2","444","165","407","156",41.2,"27",7.1,4.4
"Bogaerts, Xander","593428","376","7",27.9,"111","89.3","100.1","93.3","86.5","426","146","400","155",41.2,"22",5.9,4
"DeLauter, Chase","800050","374","12",34.8,"111.2","91.3","101.3","94.7","90.5","435","164","397","171",45.8,"23",6.1,4.6
"Arenado, Nolan","571448","370","18.8",32.2,"108.5","84.8","96.7","89.3","82.9","411","163","389","113",30.6,"23",6.2,4.3
"Rice, Ben","700250","370","14.6",38.9,"110.9","92","101.9","95.7","88.1","447","188","395","180",48.6,"53",14.3,8.9
"Neto, Zach","687263","368","22.6",37.5,"109.7","89.7","99.7","94.4","82.4","443","196","404","149",40.6,"42",11.4,6.7
"Duran, Jarren","680776","367","12.8",31.3,"114.7","90.1","101.7","93.7","90.2","445","155","401","150",40.9,"36",9.8,6.4
"Betts, Mookie","605141","366","17.6",39.6,"108.1","90.1","98.6","92.8","86.6","421","193","389","139",38,"27",7.4,5.9
"Baldwin, Drake","686948","366","11",36.6,"112.8","91.5","102.2","96.2","87.2","473","171","402","186",50.8,"46",12.6,8.5
"Lowe, Brandon","664040","364","16",35.7,"111.1","91","101.1","95","86.6","444","191","390","165",45.3,"42",11.5,7.1
"Sanoja, Javier","691594","363","11.6",33.1,"108.4","86.9","97.2","89.9","87.4","419","149","381","114",31.4,"8",2.2,1.9
"Ohtani, Shohei","660271","363","12.2",38.3,"114.6","93.2","103.7","96.8","89.4","452","181","407","187",51.5,"57",15.7,9.6
"Bellinger, Cody","641355","363","17.4",38.8,"109.3","89","98.2","92.2","86.9","403","176","378","131",36.2,"21",5.8,4.2
